Date;URALS_price;BRENT_price;RUBLE_EXCHrate;IMOEX_CLOSE;MIACR_RatePerDay;CPI_HighFreq;VIX_volatility
19.04.2022;-0,019705694;-0,052226935;-0,019920266;-0,010744334;0,1622;0;21,37
20.04.2022;-0,004307532;-0,004195804;0;0,005726097;0,162;-0,003980977;20,32
21.04.2022;0,022679601;0,014325843;0;-0,025605712;0,1621;-0,002693558;22,68
22.04.2022;-0,02063838;-0,015508169;-0,00195769;-0,017093415;0,1624;0;28,21
23.04.2022;0;0;-0,00889027;-0,020611675;0,1621;0,01479548;28,21
24.04.2022;0;0;0,002303707;0;0,1621;0,001869782;28,21
25.04.2022;-0,111125654;-0,040600094;-0,007973775;0;0,1621;-1,14964E-16;27,02
26.04.2022;0,075099396;0,026094605;-0,017588972;0,060487966;0,1625;0,000151604;33,52
27.04.2022;0,005067799;0,003143156;0;0,045642366;0,1626;0,002769993;31,6
28.04.2022;0,03134369;0,021553361;0;-0,01675549;0,1632;0,000129247;29,99
29.04.2022;0,049286469;0,016265452;0;0,025804855;0,1657;0,004473273;33,4
30.04.2022;0;0;0;-0,029449895;0,1359;-0,003690005;33,4
01.05.2022;0;0;-0,022636106;0;0,1359;0;33,4
02.05.2022;0;-0,016096579;-0,045784833;0;0,1359;0,000628858;32,34
03.05.2022;-0,030474751;-0,024261015;0,017308848;0;0,1359;-0,000237587;29,25
04.05.2022;0,038316665;0,049252167;0;0;0,1359;0,006397137;25,42
05.05.2022;0,044658494;0,006900309;0;0,013332434;0,139;0,001492064;31,2
06.05.2022;0,02634415;0,013435528;0;-0,004894378;0,1409;1,13585E-16;30,19
07.05.2022;0;0;0;-0,002461315;0,1398;0,001178571;30,19
08.05.2022;0;0;0,021586631;0;0,1398;-0,000120342;30,19
09.05.2022;-0,089021118;-0,057389447;-0,044267122;0;0,1398;-0,000947576;34,75
10.05.2022;-0,036372951;-0,032848782;-0,030576852;0;0,1398;-6,81347E-05;32,99
11.05.2022;0,046119086;0,049287527;0;0;0,1398;-0,00189237;32,56
12.05.2022;0,01232372;-0,000558088;0;-0,037387836;0,1402;-0,00130041;31,77
13.05.2022;0,03313253;0,038157282;-0,00525871;0,004182097;0,1406;0,000905429;28,87
14.05.2022;0;0;0,001549386;0,024745395;0,1356;-0,000138838;28,87
15.05.2022;0;0;0,000338355;0;0,1356;-0,000245689;28,87
16.05.2022;0,021987366;0,024114747;-0,018268116;0;0,1356;-0,002452311;27,47
17.05.2022;0,03114228;-0,020220588;-0,056357777;0,025162818;0,1392;0,002157951;26,1
18.05.2022;-0,05925072;-0,025194318;0;0,008745514;0,1391;8,26797E-05;30,96
19.05.2022;0,007474574;0,026853634;0;-0,003570114;0,1382;-0,002633846;29,35
20.05.2022;0,027122355;0,004551946;-0,011505242;-0,025983247;0,1371;0,002862012;29,43
21.05.2022;0;0;-0,021297504;-0,030089413;0,1365;-0,000898876;29,43
22.05.2022;0;0;-0,01175025;0;0,1365;0,001724837;29,43
23.05.2022;0,019893428;0,007729898;0,102130388;0;0,1365;0,001399097;28,48
24.05.2022;0,008243353;0,00123435;0,070160114;-0,003575385;0,135;0,000389541;29,45
25.05.2022;0,003339475;0,004138781;0;0,020299788;0,1355;0,007933628;28,37
26.05.2022;0,041088029;0,029553626;0;0,031142904;0,1331;-0,000584256;27,5
27.05.2022;0,000440966;0,017291312;-0,049777946;-0,002266831;0,106;-0,000683927;25,72
28.05.2022;0;0;-0,023623757;-0,002990542;0,1066;-0,001586213;25,72
29.05.2022;0;0;-0,002168588;0;0,1066;0,003407988;25,72
30.05.2022;0,02292011;0,018755757;0,001654377;0;0,1066;-0,003035095;26,54
31.05.2022;0,056016374;0,009616175;0,006348356;-0,018596978;0,1073;-0,001005135;26,19
01.06.2022;-0,035703356;-0,053321394;0;0,008001698;0,1066;-0,001296014;25,69
02.06.2022;0,020839945;0,011350933;0;-0,014499284;0,1063;-0,000780253;24,72
03.06.2022;0,00238342;0,017940651;-0,013822118;-0,013734045;0,1056;0,00400807;24,79
04.06.2022;0;0;-0,00250207;-0,011208693;0,1039;-0,005276391;24,79
05.06.2022;0;0;-0,011947864;0;0,1039;0,001972926;24,79
06.06.2022;-0,008167063;-0,001754093;-0,030528888;0;0,1039;-0,002928058;25,07
07.06.2022;0,016572858;0,008869551;-0,010472773;0,004145196;0,103;0,000520566;24,02
08.06.2022;0,017430534;0,024964751;0;0,011882424;0,1053;-4,80762E-05;23,96
09.06.2022;0,00977527;-0,004126881;0;-0,010720831;0,1086;0,000195437;26,09
10.06.2022;-0,024051896;-0,008612984;0;-0,003692257;0,1061;-0,000248765;27,75
11.06.2022;0;0;-0,011862647;0,001850782;0,0974;-0,008938619;27,75
12.06.2022;0;0;-0,007535127;0;0,0974;0,00162021;27,75
13.06.2022;0,002249719;0,002130973;0,003647922;0;0,0974;-0,001481204;34,02
14.06.2022;0,038159371;-0,008996483;-0,002795894;0;0,0974;-0,000709004;32,69
15.06.2022;-0,034496314;-0,021952629;0;0,012756851;0,0959;0,000264058;29,62
16.06.2022;-0,034812704;0,010969538;0;0,02190206;0,0932;-0,000601515;32,95
17.06.2022;-0,036595655;-0,055838411;-0,009476266;-0,00665471;0,0901;-0,000960873;31,13
18.06.2022;0;0;-0,026073164;0,021419043;0,0879;0,000808082;31,13
19.06.2022;0;0;-0,02612593;0;0,0879;-0,000233719;31,13
20.06.2022;-0,026710454;0,008928571;0,001482766;0;0,0879;-0,004601014;31,03
21.06.2022;0,008098077;0,004556208;-0,000644704;-0,018961071;0,0887;0,000642265;30,19
22.06.2022;-0,042508089;-0,025381596;0;0,006236195;0,0887;-0,004226039;28,95
23.06.2022;0,010603589;-0,015124396;0;0,013069197;0,0894;0,001641985;29,05
24.06.2022;0,028479188;0,027896411;0,000763267;-0,005418916;0,0886;-0,004340818;27,23
25.06.2022;0;0;-0,007386989;0,010683627;0,0887;0,00228789;27,23
26.06.2022;0;0;-0,034206219;0;0,0887;-0,000347709;27,23
27.06.2022;0,015919283;0,017415134;0,026472888;0;0,0887;-0,000189024;26,95
28.06.2022;0,018980358;0,025110783;0,023904876;-0,003438061;0,0896;-0,000145981;28,36
29.06.2022;0,017110678;-0,014578742;0;-0,012537623;0,0897;0,000465018;28,16
30.06.2022;-0,031196763;-0,012472045;0;-0,073027685;0,09;-0,000454501;28,71
01.07.2022;-0,016045719;-0,027697936;0,024516623;0,00079824;0,0894;0,000717938;26,7
02.07.2022;0;0;0,062193887;-0,000883708;0,0877;-0,000465688;26,7
03.07.2022;0;0;0,075184835;0;0,0877;2,50144E-06;26,7
04.07.2022;0,037305931;0,016751769;0,003682981;0;0,0877;0,000113008;27,53
05.07.2022;-0,122644557;-0,094537445;-0,029715232;0,009969791;0,0876;-3,42126E-05;27,54
06.07.2022;-0,021109475;-0,020239369;0;-0,00213775;0,0886;-3,70714E-05;26,73
07.07.2022;0,069332999;0,039328632;0;0,002146831;0,0895;-0,001591701;26,08
08.07.2022;-0,004924376;0,022646918;0,000621874;-0,001859295;0,0909;0,003230593;24,64
09.07.2022;0;0;-0,039970965;-0,027072994;0,093;-0,001672341;24,64
10.07.2022;0;0;-0,005469458;0;0,093;5,67489E-05;24,64
11.07.2022;0,003299163;0,000747524;-0,004705102;0;0,093;-0,000144753;26,17
12.07.2022;-0,069641809;-0,071055089;-0,007286703;-0,013212538;0,0945;-0,000786102;27,29
13.07.2022;-0,013632921;0,000804101;0;-0,028161423;0,0913;0,001778095;26,82
14.07.2022;-0,035193243;-0,004720297;0;-0,005005594;0,0924;0,00297081;26,4
15.07.2022;0,112747049;0,020787084;-0,021972151;0,022401008;0,0931;-0,010830149;24,23
16.07.2022;0;0;-0,019882747;-0,006209943;0,0933;0,003860465;24,23
17.07.2022;0;0;-0,010604831;0;0,0933;-0,00320232;24,23
18.07.2022;0,049231136;0,050514037;0,029703313;0;0,0933;0,002655229;25,3
